Chromosome,Source,Feature,Start,End,Score,Strand,Frame,gene_id,gene_type,gene_name,level,tag,transcript_id,transcript_type,transcript_name,exon_number,exon_id,transcript_support_level,havana_transcript,hgnc_id,havana_gene,ont,protein_id,ccdsid,artif_dupl,length,ENSEMBL_ID,tx_length
chr6,HAVANA,gene,36091990,36092646,.,-,.,ENSG00000237719.1,processed_pseudogene,NUDT5P1,1,pseudo_consens,,,,,,,,HGNC:56926,OTTHUMG00000014585.1,,,,,656,ENSG00000237719,656
chr6,HAVANA,gene,36112465,36200952,.,-,.,ENSG00000246982.8,lncRNA,BRPF3-AS1,1,,,,,,,,,HGNC:55591,OTTHUMG00000166301.2,,,,,88487,ENSG00000246982,1421
chr6,HAVANA,gene,36127808,36144524,.,+,.,ENSG00000156711.17,protein_coding,MAPK13,2,,,,,,,,,HGNC:6875,OTTHUMG00000014587.2,,,,,16716,ENSG00000156711,6316
chr6,HAVANA,gene,36149534,36153873,.,+,.,ENSG00000306281.1,lncRNA,ENSG00000306281,2,,,,,,,,,,,,,,,4339,ENSG00000306281,411
chr6,HAVANA,gene,36196743,36232790,.,+,.,ENSG00000096070.19,protein_coding,BRPF3,1,,,,,,,,,HGNC:14256,OTTHUMG00000014589.8,,,,,36047,ENSG00000096070,6052
chr6,HAVANA,gene,36241726,36248358,.,-,.,ENSG00000303658.1,lncRNA,ENSG00000303658,2,,,,,,,,,,,,,,,6632,ENSG00000303658,984
chr6,HAVANA,gene,36243202,36313955,.,+,.,ENSG00000180316.13,protein_coding,PNPLA1,1,,,,,,,,,HGNC:21246,OTTHUMG00000014590.7,,,,,70753,ENSG00000180316,4188
chr6,HAVANA,gene,36315760,36336888,.,-,.,ENSG00000189325.7,protein_coding,BNIP5,2,,,,,,,,,HGNC:33769,OTTHUMG00000014591.3,,,,,21128,ENSG00000189325,3735
chr6,HAVANA,gene,36321984,36335204,.,+,.,ENSG00000297259.1,lncRNA,ENSG00000297259,2,,,,,,,,,,,,,,,13220,ENSG00000297259,671
chr6,HAVANA,gene,36354090,36387800,.,-,.,ENSG00000010030.14,protein_coding,ETV7,2,,,,,,,,,HGNC:18160,OTTHUMG00000014594.3,,,,,33710,ENSG00000010030,1776
chr6,HAVANA,gene,36386830,36391994,.,+,.,ENSG00000224666.5,lncRNA,ETV7-AS1,1,,,,,,,,,HGNC:40833,OTTHUMG00000014592.1,,,,,5164,ENSG00000224666,330
chr6,HAVANA,gene,36390550,36442854,.,-,.,ENSG00000179165.12,protein_coding,PXT1,1,,,,,,,,,HGNC:18312,OTTHUMG00000159815.4,,,,,52304,ENSG00000179165,2073
chr6,HAVANA,gene,36436641,36438844,.,+,.,ENSG00000295222.1,lncRNA,ENSG00000295222,2,,,,,,,,,,,,,,,2203,ENSG00000295222,368
chr6,HAVANA,gene,36441660,36442184,.,+,.,ENSG00000302487.1,lncRNA,ENSG00000302487,2,,,,,,,,,,,,,,,524,ENSG00000302487,524
chr6,HAVANA,gene,36442766,36491143,.,+,.,ENSG00000112078.14,protein_coding,KCTD20,2,,,,,,,,,HGNC:21052,OTTHUMG00000014597.4,,,,,48377,ENSG00000112078,5384
chr6,ENSEMBL,gene,36450911,36451201,.,-,.,ENSG00000240733.3,misc_RNA,RN7SL502P,3,,,,,,,,,HGNC:46518,,,,,,290,ENSG00000240733,290
chr6,HAVANA,gene,36493891,36547479,.,-,.,ENSG00000112079.9,protein_coding,STK38,2,,,,,,,,,HGNC:17847,OTTHUMG00000014598.2,,,,,53588,ENSG00000112079,3585
chr6,ENSEMBL,gene,36522190,36522501,.,+,.,ENSG00000239964.3,misc_RNA,RN7SL748P,3,,,,,,,,,HGNC:46764,,,,,,311,ENSG00000239964,311
chr6,HAVANA,gene,36594352,36605911,.,+,.,ENSG00000112081.18,protein_coding,SRSF3,2,,,,,,,,,HGNC:10785,OTTHUMG00000014599.8,,,,,11559,ENSG00000112081,4583
chr6,HAVANA,gene,36618397,36660872,.,-,.,ENSG00000301446.1,lncRNA,ENSG00000301446,2,ncRNA_host,,,,,,,,,,,,,,42475,ENSG00000301446,595
chr6,ENSEMBL,gene,36622435,36622512,.,-,.,ENSG00000263894.1,miRNA,MIR3925,3,,,,,,,,,HGNC:38996,,,,,,77,ENSG00000263894,77
chr6,ENSEMBL,gene,36639544,36639672,.,-,.,ENSG00000238554.1,snRNA,RNU1-88P,3,,,,,,,,,HGNC:48430,,,,,,128,ENSG00000238554,128
chr6,HAVANA,gene,36663798,36667198,.,-,.,ENSG00000301272.1,lncRNA,ENSG00000301272,2,,,,,,,,,,,,,,,3400,ENSG00000301272,731
chr6,ENSEMBL,gene,36672837,36672944,.,+,.,ENSG00000251864.1,misc_RNA,Y_RNA,3,,,,,,,,,,,,,,,107,ENSG00000251864,107
chr6,HAVANA,gene,36673620,36675126,.,-,.,ENSG00000281450.1,lncRNA,PANDAR,2,overlapping_locus,,,,,,,,HGNC:44048,OTTHUMG00000189732.1,,,,,1506,ENSG00000281450,1506
chr6,HAVANA,gene,36673816,36675270,.,+,.,ENSG00000213500.3,processed_pseudogene,LAP3P2,1,pseudo_consens,,,,,,,,HGNC:42365,OTTHUMG00000014600.1,,,,,1454,ENSG00000213500,1454
chr6,HAVANA,gene,36676459,36687397,.,+,.,ENSG00000124762.15,protein_coding,CDKN1A,2,,,,,,,,,HGNC:1784,OTTHUMG00000014603.4,,,,,10938,ENSG00000124762,2267
chr6,HAVANA,gene,36677608,36678559,.,-,.,ENSG00000285244.2,lncRNA,DINOL,2,,,,,,,,,HGNC:53146,OTTHUMG00000192391.1,,,,,951,ENSG00000285244,951
chr6,HAVANA,gene,36697825,36733184,.,+,.,ENSG00000255587.9,protein_coding,RAB44,2,,,,,,,,,HGNC:21068,OTTHUMG00000016308.6,,,,,35359,ENSG00000255587,4259
chr6,HAVANA,gene,36737049,36737986,.,+,.,ENSG00000220349.4,processed_pseudogene,GPR166P,2,,,,,,,,,HGNC:23626,OTTHUMG00000014601.1,,,,,937,ENSG00000220349,937
chr6,HAVANA,gene,36740774,36839444,.,-,.,ENSG00000124772.12,protein_coding,CPNE5,2,,,,,,,,,HGNC:2318,OTTHUMG00000014602.5,,,,,98670,ENSG00000124772,3342
chr6,HAVANA,gene,36768484,36774651,.,+,.,ENSG00000285888.1,lncRNA,ENSG00000285888,2,,,,,,,,,,OTTHUMG00000192752.1,,,,,6167,ENSG00000285888,1644
chr6,HAVANA,gene,36794031,36795177,.,+,.,ENSG00000296832.1,lncRNA,ENSG00000296832,2,,,,,,,,,,,,,,,1146,ENSG00000296832,254
chr6,HAVANA,gene,36841424,36844602,.,-,.,ENSG00000287891.3,lncRNA,ENSG00000287891,2,,,,,,,,,,OTTHUMG00000194700.1,,,,,3178,ENSG00000287891,1142
chr6,HAVANA,gene,36854826,36874803,.,-,.,ENSG00000137168.8,protein_coding,PPIL1,2,,,,,,,,,HGNC:9260,OTTHUMG00000014612.2,,,,,19977,ENSG00000137168,1516
chr6,HAVANA,gene,36871869,36928964,.,+,.,ENSG00000198663.17,protein_coding,C6orf89,2,,,,,,,,,HGNC:21114,OTTHUMG00000014613.3,,,,,57095,ENSG00000198663,6763
chr6,HAVANA,gene,36907606,36908966,.,-,.,ENSG00000298791.1,lncRNA,ENSG00000298791,2,,,,,,,,,,,,,,,1360,ENSG00000298791,665
chr6,HAVANA,gene,36940070,36944675,.,-,.,ENSG00000232598.2,lncRNA,ENSG00000232598,2,,,,,,,,,,OTTHUMG00000014610.2,,,,,4605,ENSG00000232598,497
chr6,HAVANA,gene,36948262,36964837,.,+,.,ENSG00000164530.15,protein_coding,PI16,2,,,,,,,,,HGNC:21245,OTTHUMG00000014611.4,,,,,16575,ENSG00000164530,2288
chr6,HAVANA,gene,36953351,36959393,.,-,.,ENSG00000305031.1,lncRNA,ENSG00000305031,2,,,,,,,,,,,,,,,6042,ENSG00000305031,643
chr6,HAVANA,gene,36965806,36986298,.,-,.,ENSG00000137409.21,protein_coding,MTCH1,2,,,,,,,,,HGNC:17586,OTTHUMG00000014614.3,,,,,20492,ENSG00000137409,6152
chr6,HAVANA,gene,37005645,37029299,.,+,.,ENSG00000146192.16,protein_coding,FGD2,2,,,,,,,,,HGNC:3664,OTTHUMG00000014616.3,,,,,23654,ENSG00000146192,5771
chr6,HAVANA,gene,37024643,37137925,.,-,.,ENSG00000296499.1,lncRNA,ENSG00000296499,2,,,,,,,,,,,,,,,113282,ENSG00000296499,1354
chr6,HAVANA,gene,37044859,37045189,.,+,.,ENSG00000226976.3,processed_pseudogene,COX6A1P2,2,,,,,,,,,HGNC:35239,OTTHUMG00000014615.2,,,,,330,ENSG00000226976,330
chr6,HAVANA,gene,37049068,37049379,.,+,.,ENSG00000296613.1,lncRNA,ENSG00000296613,2,,,,,,,,,,,,,,,311,ENSG00000296613,311
chr6,HAVANA,gene,37091313,37091806,.,+,.,ENSG00000216412.4,processed_pseudogene,RPL12P2,1,pseudo_consens,,,,,,,,HGNC:16070,OTTHUMG00000014617.2,,,,,493,ENSG00000216412,493
chr6,HAVANA,gene,37099316,37102597,.,-,.,ENSG00000296540.1,lncRNA,ENSG00000296540,2,,,,,,,,,,,,,,,3281,ENSG00000296540,712
chr6,HAVANA,gene,37102402,37103328,.,+,.,ENSG00000296576.1,lncRNA,ENSG00000296576,2,,,,,,,,,,,,,,,926,ENSG00000296576,391
chr6,HAVANA,gene,37126557,37128117,.,-,.,ENSG00000296558.1,lncRNA,ENSG00000296558,2,,,,,,,,,,,,,,,1560,ENSG00000296558,282
chr6,HAVANA,gene,37128383,37132136,.,+,.,ENSG00000296517.1,lncRNA,ENSG00000296517,2,,,,,,,,,,,,,,,3753,ENSG00000296517,1134
chr6,HAVANA,gene,37134857,37135269,.,+,.,ENSG00000296595.1,lncRNA,ENSG00000296595,2,,,,,,,,,,,,,,,412,ENSG00000296595,412
chr6,HAVANA,gene,37169139,37169901,.,+,.,ENSG00000301043.1,lncRNA,ENSG00000301043,2,,,,,,,,,,,,,,,762,ENSG00000301043,762
chr6,HAVANA,gene,37170151,37175428,.,+,.,ENSG00000137193.14,protein_coding,PIM1,2,,,,,,,,,HGNC:8986,OTTHUMG00000016426.2,,,,,5277,ENSG00000137193,2703
chr6,HAVANA,gene,37175456,37185973,.,+,.,ENSG00000295829.1,lncRNA,ENSG00000295829,2,,,,,,,,,,,,,,,10517,ENSG00000295829,692
chr6,HAVANA,gene,37212179,37258155,.,-,.,ENSG00000172738.13,protein_coding,TMEM217,2,overlapping_locus,,,,,,,,HGNC:21238,OTTHUMG00000193508.2,,,,,45976,ENSG00000172738,2311
chr6,HAVANA,gene,37212180,37258144,.,-,.,ENSG00000286105.2,protein_coding,TMEM217B,2,overlapping_locus,,,,,,,,HGNC:55922,OTTHUMG00000014618.5,,,,,45964,ENSG00000286105,1393
chr6,HAVANA,gene,37239948,37240074,.,-,.,ENSG00000297924.1,lncRNA,ENSG00000297924,2,,,,,,,,,,,,,,,126,ENSG00000297924,126
chr6,HAVANA,gene,37257771,37332970,.,+,.,ENSG00000065491.8,protein_coding,TBC1D22B,2,,,,,,,,,HGNC:21602,OTTHUMG00000014619.1,,,,,75199,ENSG00000065491,3462
chr6,HAVANA,gene,37295583,37295742,.,-,.,ENSG00000275550.1,processed_pseudogene,ENSG00000275550,2,,,,,,,,,,OTTHUMG00000187614.1,,,,,159,ENSG00000275550,159
chr6,HAVANA,gene,37301209,37305176,.,-,.,ENSG00000286672.1,lncRNA,ENSG00000286672,2,,,,,,,,,,OTTHUMG00000195532.1,,,,,3967,ENSG00000286672,2103
chr6,HAVANA,gene,37353978,37394734,.,+,.,ENSG00000112130.17,protein_coding,RNF8,2,ncRNA_host,,,,,,,,HGNC:10071,OTTHUMG00000014620.5,,,,,40756,ENSG00000112130,5616
chr6,ENSEMBL,gene,37361184,37361483,.,+,.,ENSG00000239953.3,misc_RNA,RN7SL273P,3,,,,,,,,,HGNC:46289,,,,,,299,ENSG00000239953,299
chr6,HAVANA,gene,37418033,37433206,.,-,.,ENSG00000304688.1,lncRNA,ENSG00000304688,2,,,,,,,,,,,,,,,15173,ENSG00000304688,857
chr6,HAVANA,gene,37433218,37482827,.,+,.,ENSG00000137200.13,protein_coding,CMTR1,2,,,,,,,,,HGNC:21077,OTTHUMG00000014624.5,,,,,49609,ENSG00000137200,4034
chr6,HAVANA,gene,37482937,37499893,.,-,.,ENSG00000198937.9,protein_coding,CCDC167,2,,,,,,,,,HGNC:21239,OTTHUMG00000014625.2,,,,,16956,ENSG00000198937,572
chr6,HAVANA,gene,37507344,37550860,.,+,.,ENSG00000204110.8,lncRNA,LINC02520,2,,,,,,,,,HGNC:53511,OTTHUMG00000177812.2,,,,,43516,ENSG00000204110,1283
chr6,HAVANA,gene,37534090,37540596,.,-,.,ENSG00000307919.1,lncRNA,ENSG00000307919,2,,,,,,,,,,,,,,,6506,ENSG00000307919,1629
chr6,HAVANA,gene,37543552,37546755,.,-,.,ENSG00000293212.1,lncRNA,ENSG00000293212,2,overlaps_pseudogene,,,,,,,,,,,,,,3203,ENSG00000293212,735
chr6,HAVANA,gene,37546590,37547280,.,-,.,ENSG00000229559.3,transcribed_processed_pseudogene,ENSG00000229559,1,pseudo_consens,,,,,,,,,OTTHUMG00000014621.2,,,,,690,ENSG00000229559,373
chr6,HAVANA,gene,37550537,37560015,.,-,.,ENSG00000309723.1,lncRNA,ENSG00000309723,2,ncRNA_host,,,,,,,,,,,,,,9478,ENSG00000309723,1948
chr6,ENSEMBL,gene,37555364,37555422,.,-,.,ENSG00000263926.1,miRNA,MIR4462,3,,,,,,,,,HGNC:41549,,,,,,58,ENSG00000263926,58
chr6,HAVANA,gene,37567715,37571460,.,+,.,ENSG00000279942.1,TEC,ENSG00000279942,2,,,,,,,,,,OTTHUMG00000175913.1,,,,,3745,ENSG00000279942,3745
chr6,HAVANA,gene,37630678,37699306,.,-,.,ENSG00000112139.17,protein_coding,MDGA1,1,,,,,,,,,HGNC:19267,OTTHUMG00000014626.8,,,,,68628,ENSG00000112139,10629
chr6,HAVANA,gene,37700718,37705888,.,-,.,ENSG00000303805.1,lncRNA,ENSG00000303805,2,,,,,,,,,,,,,,,5170,ENSG00000303805,498
chr6,HAVANA,gene,37749608,37756891,.,+,.,ENSG00000304838.1,lncRNA,ENSG00000304838,2,,,,,,,,,,,,,,,7283,ENSG00000304838,1374
chr6,HAVANA,gene,37774140,37784185,.,-,.,ENSG00000294921.1,lncRNA,ENSG00000294921,2,,,,,,,,,,,,,,,10045,ENSG00000294921,677
chr6,HAVANA,gene,37783176,37784096,.,+,.,ENSG00000294941.1,lncRNA,ENSG00000294941,2,,,,,,,,,,,,,,,920,ENSG00000294941,293
chr6,HAVANA,gene,37784885,37804697,.,+,.,ENSG00000305289.1,lncRNA,ENSG00000305289,2,,,,,,,,,,,,,,,19812,ENSG00000305289,1363
chr6,HAVANA,gene,37801347,37819371,.,-,.,ENSG00000225945.2,lncRNA,ZFAND3-DT,2,,,,,,,,,HGNC:55841,OTTHUMG00000014627.1,,,,,18024,ENSG00000225945,1505
chr6,HAVANA,gene,37819726,38154624,.,+,.,ENSG00000156639.12,protein_coding,ZFAND3,1,ncRNA_host,,,,,,,,HGNC:18019,OTTHUMG00000014629.7,,,,,334898,ENSG00000156639,3138
chr6,ENSEMBL,gene,37832921,37833185,.,-,.,ENSG00000243313.2,misc_RNA,RN7SL285P,3,,,,,,,,,HGNC:46301,,,,,,264,ENSG00000243313,264
chr6,ENSEMBL,gene,37915572,37915742,.,+,.,ENSG00000200597.1,snRNA,RNVU1-33,3,,,,,,,,,HGNC:48429,,,,,,170,ENSG00000200597,170
chr6,HAVANA,gene,38002831,38003313,.,-,.,ENSG00000218521.1,processed_pseudogene,ITGAEP1,1,pseudo_consens,,,,,,,,HGNC:56927,OTTHUMG00000014628.1,,,,,482,ENSG00000218521,482
chr6,HAVANA,gene,38168450,38640148,.,-,.,ENSG00000183826.19,protein_coding,BTBD9,1,,,,,,,,,HGNC:21228,OTTHUMG00000014634.10,,,,,471698,ENSG00000183826,8530
chr6,ENSEMBL,gene,38207273,38207345,.,+,.,ENSG00000200706.1,snoRNA,ENSG00000200706,3,,,,,,,,,,,,,,,72,ENSG00000200706,72
chr6,HAVANA,gene,38481556,38482533,.,+,.,ENSG00000226533.2,lncRNA,BTBD9-AS1,1,,,,,,,,,HGNC:40959,OTTHUMG00000014632.1,,,,,977,ENSG00000226533,697
chr6,ENSEMBL,gene,38565949,38566055,.,+,.,ENSG00000199938.1,misc_RNA,Y_RNA,3,,,,,,,,,,,,,,,106,ENSG00000199938,106
chr6,HAVANA,gene,38587322,38588529,.,+,.,ENSG00000217227.1,processed_pseudogene,TFGP1,1,pseudo_consens,,,,,,,,HGNC:55068,OTTHUMG00000014633.1,,,,,1207,ENSG00000217227,1207
chr6,HAVANA,gene,38640253,38714784,.,+,.,ENSG00000298390.1,lncRNA,ENSG00000298390,2,,,,,,,,,,,,,,,74531,ENSG00000298390,1031
chr6,HAVANA,gene,38675924,38703145,.,-,.,ENSG00000124767.7,protein_coding,GLO1,2,,,,,,,,,HGNC:4323,OTTHUMG00000014636.3,,,,,27221,ENSG00000124767,2016
chr6,HAVANA,gene,38713593,38715469,.,-,.,ENSG00000236355.3,lncRNA,DNAH8-DT,2,,,,,,,,,HGNC:55663,OTTHUMG00000014635.2,,,,,1876,ENSG00000236355,1109
chr6,HAVANA,gene,38715310,39030792,.,+,.,ENSG00000124721.18,protein_coding,DNAH8,1,overlapping_locus,,,,,,,,HGNC:2952,OTTHUMG00000016253.6,,,,,315482,ENSG00000124721,14663
chr6,ENSEMBL,gene,38744085,38744386,.,+,.,ENSG00000244297.3,misc_RNA,RN7SL465P,3,,,,,,,,,HGNC:46481,,,,,,301,ENSG00000244297,301
chr6,HAVANA,gene,38762904,38764694,.,+,.,ENSG00000219273.1,processed_pseudogene,DNAJC2P1,1,overlapping_locus,,,,,,,,HGNC:56928,OTTHUMG00000016180.1,,,,,1790,ENSG00000219273,1790
chr6,ENSEMBL,gene,38822306,38822404,.,-,.,ENSG00000212586.1,snoRNA,ENSG00000212586,3,,,,,,,,,,,,,,,98,ENSG00000212586,98
chr6,HAVANA,gene,38923028,38953105,.,-,.,ENSG00000231150.6,lncRNA,DNAH8-AS1,2,,,,,,,,,HGNC:40188,OTTHUMG00000014637.1,,,,,30077,ENSG00000231150,830
chr6,HAVANA,gene,38928030,38928153,.,+,.,ENSG00000220076.1,processed_pseudogene,ENSG00000220076,2,overlapping_locus,,,,,,,,,OTTHUMG00000016233.1,,,,,123,ENSG00000220076,123
chr6,HAVANA,gene,39039602,39039985,.,-,.,ENSG00000220556.4,processed_pseudogene,ENSG00000220556,1,pseudo_consens,,,,,,,,,OTTHUMG00000014639.1,,,,,383,ENSG00000220556,383
chr6,HAVANA,gene,39048780,39091303,.,+,.,ENSG00000112164.6,protein_coding,GLP1R,2,,,,,,,,,HGNC:4324,OTTHUMG00000014638.2,,,,,42523,ENSG00000112164,6682
chr6,HAVANA,gene,39104062,39115193,.,-,.,ENSG00000112167.11,protein_coding,SAYSD1,2,,,,,,,,,HGNC:21025,OTTHUMG00000014641.2,,,,,11131,ENSG00000112167,7357
chr6,HAVANA,gene,39110320,39112952,.,+,.,ENSG00000217165.1,processed_pseudogene,ANKRD18EP,1,pseudo_consens,,,,,,,,HGNC:43609,OTTHUMG00000014640.1,,,,,2632,ENSG00000217165,2632
chr6,HAVANA,gene,39130706,39136467,.,-,.,ENSG00000300564.1,lncRNA,ENSG00000300564,2,,,,,,,,,,,,,,,5761,ENSG00000300564,1011
chr6,HAVANA,gene,39188970,39229475,.,-,.,ENSG00000164626.9,protein_coding,KCNK5,2,,,,,,,,,HGNC:6280,OTTHUMG00000014642.2,,,,,40505,ENSG00000164626,3783
chr6,HAVANA,gene,39263848,39270386,.,+,.,ENSG00000299812.1,lncRNA,ENSG00000299812,2,,,,,,,,,,,,,,,6538,ENSG00000299812,478
chr6,HAVANA,gene,39299000,39314461,.,-,.,ENSG00000124780.14,protein_coding,KCNK17,2,,,,,,,,,HGNC:14465,OTTHUMG00000014646.3,,,,,15461,ENSG00000124780,1706
chr6,HAVANA,gene,39314697,39322968,.,-,.,ENSG00000095981.11,protein_coding,KCNK16,2,,,,,,,,,HGNC:14464,OTTHUMG00000014645.3,,,,,8271,ENSG00000095981,1272
chr6,HAVANA,gene,39329989,39725408,.,-,.,ENSG00000164627.18,protein_coding,KIF6,2,ncRNA_host,,,,,,,,HGNC:21202,OTTHUMG00000014648.5,,,,,395419,ENSG00000164627,9085
chr6,HAVANA,gene,39353746,39354172,.,+,.,ENSG00000218986.1,processed_pseudogene,ANKRD39P1,1,pseudo_consens,,,,,,,,HGNC:56783,OTTHUMG00000014644.1,,,,,426,ENSG00000218986,426
chr6,HAVANA,gene,39553810,39554943,.,+,.,ENSG00000231276.2,processed_pseudogene,E2F4P1,1,pseudo_consens,,,,,,,,HGNC:38684,OTTHUMG00000014650.3,,,,,1133,ENSG00000231276,1133
chr6,ENSEMBL,gene,39620344,39620464,.,-,.,ENSG00000252990.1,snRNA,RNU1-54P,3,,,,,,,,,HGNC:48396,,,,,,120,ENSG00000252990,120
chr6,HAVANA,gene,39792297,39904877,.,+,.,ENSG00000146122.17,protein_coding,DAAM2,2,,,,,,,,,HGNC:18143,OTTHUMG00000014653.5,,,,,112580,ENSG00000146122,6730
chr6,HAVANA,gene,39809821,39819813,.,-,.,ENSG00000308921.1,lncRNA,ENSG00000308921,2,,,,,,,,,,,,,,,9992,ENSG00000308921,328
chr6,HAVANA,gene,39818750,39823227,.,+,.,ENSG00000281969.1,TEC,ENSG00000281969,2,,,,,,,,,,OTTHUMG00000191456.1,,,,,4477,ENSG00000281969,4477
chr6,HAVANA,gene,39848369,39900071,.,-,.,ENSG00000235033.8,lncRNA,DAAM2-AS1,2,overlapping_locus,,,,,,,,HGNC:40830,OTTHUMG00000014652.2,,,,,51702,ENSG00000235033,3776
chr6,HAVANA,gene,39899577,39934551,.,-,.,ENSG00000124615.21,protein_coding,MOCS1,2,overlapping_locus,,,,,,,,HGNC:7190,OTTHUMG00000014656.8,,,,,34974,ENSG00000124615,4285
chr6,HAVANA,gene,39934567,40000627,.,+,.,ENSG00000293066.2,lncRNA,ENSG00000293066,2,overlaps_pseudogene,,,,,,,,,,,,,,66060,ENSG00000293066,1600
chr6,HAVANA,gene,39958413,39958833,.,-,.,ENSG00000180211.5,processed_pseudogene,RPL23P6,1,pseudo_consens,,,,,,,,HGNC:35554,OTTHUMG00000014654.1,,,,,420,ENSG00000180211,420
chr6,HAVANA,gene,39988901,39997329,.,-,.,ENSG00000296769.1,lncRNA,ENSG00000296769,2,,,,,,,,,,,,,,,8428,ENSG00000296769,584
chr6,HAVANA,gene,39992814,40000233,.,+,.,ENSG00000220586.3,transcribed_processed_pseudogene,TUBBP9,1,pseudo_consens,,,,,,,,HGNC:42178,OTTHUMG00000014655.2,,,,,7419,ENSG00000220586,1099
chr6,HAVANA,gene,40163925,40164547,.,-,.,ENSG00000299564.1,lncRNA,ENSG00000299564,2,,,,,,,,,,,,,,,622,ENSG00000299564,622
chr6,HAVANA,gene,40164640,40174772,.,+,.,ENSG00000298093.1,lncRNA,ENSG00000298093,2,,,,,,,,,,,,,,,10132,ENSG00000298093,1574
chr6,HAVANA,gene,40271565,40276339,.,-,.,ENSG00000227131.2,lncRNA,ENSG00000227131,1,,,,,,,,,,OTTHUMG00000014657.1,,,,,4774,ENSG00000227131,633
chr6,HAVANA,gene,40285679,40387590,.,+,.,ENSG00000204091.9,lncRNA,TDRG1,2,,,,,,,,,HGNC:43642,OTTHUMG00000014660.16,,,,,101911,ENSG00000204091,1686
chr6,HAVANA,gene,40293798,40308839,.,-,.,ENSG00000296324.1,lncRNA,ENSG00000296324,2,,,,,,,,,,,,,,,15041,ENSG00000296324,735
chr6,HAVANA,gene,40344341,40387365,.,-,.,ENSG00000226070.3,lncRNA,LINC00951,2,,,,,,,,,HGNC:48662,OTTHUMG00000014659.1,,,,,43024,ENSG00000226070,9338
chr6,HAVANA,gene,40391590,40587364,.,-,.,ENSG00000156564.10,protein_coding,LRFN2,2,overlapping_locus,,,,,,,,HGNC:21226,OTTHUMG00000014662.2,,,,,195774,ENSG00000156564,3164
chr6,ENSEMBL,gene,40407852,40407955,.,+,.,ENSG00000252767.1,snRNA,RNU6-250P,3,,,,,,,,,HGNC:47213,,,,,,103,ENSG00000252767,103
chr6,HAVANA,gene,40501630,40502393,.,-,.,ENSG00000236075.1,lncRNA,ENSG00000236075,1,overlapping_locus,,,,,,,,,OTTHUMG00000014661.1,,,,,763,ENSG00000236075,292
chr6,HAVANA,gene,40505506,40524852,.,-,.,ENSG00000226454.4,lncRNA,ENSG00000226454,1,overlapping_locus,,,,,,,,,OTTHUMG00000014663.4,,,,,19346,ENSG00000226454,1203
chr6,HAVANA,gene,40523750,40529402,.,+,.,ENSG00000300393.1,lncRNA,ENSG00000300393,2,,,,,,,,,,,,,,,5652,ENSG00000300393,571
chr6,HAVANA,gene,40640732,40643577,.,+,.,ENSG00000298454.1,lncRNA,ENSG00000298454,2,,,,,,,,,,,,,,,2845,ENSG00000298454,1283
chr6,HAVANA,gene,40713410,40715363,.,-,.,ENSG00000237947.1,lncRNA,ENSG00000237947,2,,,,,,,,,,OTTHUMG00000014664.1,,,,,1953,ENSG00000237947,613
chr6,HAVANA,gene,40715513,40725369,.,+,.,ENSG00000300353.1,lncRNA,ENSG00000300353,2,,,,,,,,,,,,,,,9856,ENSG00000300353,1640
chr6,HAVANA,gene,40734407,40735949,.,-,.,ENSG00000303784.1,lncRNA,ENSG00000303784,2,,,,,,,,,,,,,,,1542,ENSG00000303784,1030
chr6,HAVANA,gene,40794679,40825304,.,-,.,ENSG00000295882.1,lncRNA,ENSG00000295882,2,,,,,,,,,,,,,,,30625,ENSG00000295882,609
chr6,HAVANA,gene,40858021,41028130,.,-,.,ENSG00000293636.1,lncRNA,ENSG00000293636,2,overlapping_locus,,,,,,,,,,,,,,170109,ENSG00000293636,2699
chr6,HAVANA,gene,40885052,40888123,.,+,.,ENSG00000296633.1,lncRNA,ENSG00000296633,2,,,,,,,,,,,,,,,3071,ENSG00000296633,672
chr6,HAVANA,gene,40885381,40890254,.,+,.,ENSG00000296619.1,lncRNA,ENSG00000296619,2,,,,,,,,,,,,,,,4873,ENSG00000296619,1407
chr6,HAVANA,gene,40997845,41009046,.,+,.,ENSG00000296599.1,lncRNA,ENSG00000296599,2,,,,,,,,,,,,,,,11201,ENSG00000296599,810
chr6,HAVANA,gene,41026894,41039221,.,-,.,ENSG00000124602.11,protein_coding,UNC5CL,2,overlapping_locus,,,,,,,,HGNC:21203,OTTHUMG00000014665.3,,,,,12327,ENSG00000124602,3156
chr6,HAVANA,gene,41033626,41097787,.,-,.,ENSG00000124596.17,protein_coding,OARD1,1,overlapping_locus,,,,,,,,HGNC:21257,OTTHUMG00000014667.5,,,,,64161,ENSG00000124596,3330
chr6,HAVANA,gene,41042466,41044337,.,+,.,ENSG00000112212.12,protein_coding,TSPO2,1,,,,,,,,,HGNC:21256,OTTHUMG00000014666.3,,,,,1871,ENSG00000112212,1045
chr6,HAVANA,gene,41053201,41064891,.,+,.,ENSG00000124701.6,protein_coding,APOBEC2,2,,,,,,,,,HGNC:605,OTTHUMG00000014670.1,,,,,11690,ENSG00000124701,1633
chr6,HAVANA,gene,41072973,41102403,.,+,.,ENSG00000001167.15,protein_coding,NFYA,2,,,,,,,,,HGNC:7804,OTTHUMG00000014669.1,,,,,29430,ENSG00000001167,6209
chr6,HAVANA,gene,41080587,41101282,.,-,.,ENSG00000287678.2,lncRNA,ENSG00000287678,2,,,,,,,,,,OTTHUMG00000194629.1,,,,,20695,ENSG00000287678,1132
